Event;Timestamp
black_list_check_full RES: yes good boy;2025-09-22 19:51:50
black_list_check_full RES: yes good boy;2025-09-22 19:51:50
black_list_check_full RES: no, bad boy;2025-09-22 19:51:50
black_list_check_full ERROR: Ошибка: Дата рождения '22.03.2026' не может быть позже текущей даты;2025-09-22 19:51:50
black_list_check_full ERROR: Ошибка: Неверный формат даты '22-03-1989'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:51:50
black_list_check_full ERROR: Ошибка: Неверный формат даты '1989.03.22'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:51:50
black_list_check_full RES: no, bad boy;2025-09-22 19:51:50
black_list_check_full RES: similar good boy;2025-09-22 19:51:50
black_list_check_full RES: similar good boy;2025-09-22 19:51:50
black_list_check_full RES: similar good boy;2025-09-22 19:51:50
black_list_check_full RES: similar good boy;2025-09-22 19:51:50
black_list_check_full RES: similar good boy;2025-09-22 19:51:50
black_list_check_full RES: yes good boy;2025-09-22 19:51:50
black_list_check_full RES: similar good boy;2025-09-22 19:51:50
ping;2025-09-22 19:53:55
now;2025-09-22 19:53:55
ping;2025-09-22 19:54:58
now;2025-09-22 19:54:58
ping;2025-09-22 19:59:03
now;2025-09-22 19:59:03
