Event;Timestamp
black_list_check_full ERROR: Ошибка: Неверный формат даты '22-03-1989'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:04:18
black_list_check_full ERROR: Ошибка: Неверный формат даты '1989.03.22'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:04:18
black_list_check_full RES: no, bad boy;2025-09-22 19:04:18
black_list_check_full RES: similar good boy;2025-09-22 19:04:19
black_list_check_full RES: similar good boy;2025-09-22 19:04:19
black_list_check_full RES: similar good boy;2025-09-22 19:04:19
black_list_check_full RES: similar good boy;2025-09-22 19:04:19
black_list_check_full RES: similar good boy;2025-09-22 19:04:19
black_list_check_full RES: no, bad boy;2025-09-22 19:04:19
black_list_check_full RES: no, bad boy;2025-09-22 19:04:19
black_list_check_full RES: yes good boy;2025-09-22 19:04:43
black_list_check_full RES: yes good boy;2025-09-22 19:04:43
black_list_check_full RES: no, bad boy;2025-09-22 19:04:43
black_list_check_full ERROR: Ошибка: Дата рождения '22.03.2026' не может быть позже текущей даты;2025-09-22 19:04:43
black_list_check_full ERROR: Ошибка: Неверный формат даты '22-03-1989'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:04:43
black_list_check_full ERROR: Ошибка: Неверный формат даты '1989.03.22'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:04:43
black_list_check_full RES: no, bad boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:04:43
black_list_check_full RES: yes good boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:04:43
black_list_check_full RES: similar good boy;2025-09-22 19:21:57
black_list_check_full RES: yes good boy;2025-09-22 19:21:57
black_list_check_full RES: yes good boy;2025-09-22 19:21:57
black_list_check_full RES: no, bad boy;2025-09-22 19:21:57
black_list_check_full ERROR: Ошибка: Дата рождения '22.03.2026' не может быть позже текущей даты;2025-09-22 19:21:57
black_list_check_full ERROR: Ошибка: Неверный формат даты '22-03-1989'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:21:57
black_list_check_full ERROR: Ошибка: Неверный формат даты '1989.03.22'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:21:57
black_list_check_full RES: no, bad boy;2025-09-22 19:21:57
black_list_check_full RES: similar good boy;2025-09-22 19:21:57
black_list_check_full RES: similar good boy;2025-09-22 19:21:57
black_list_check_full RES: similar good boy;2025-09-22 19:21:57
black_list_check_full RES: similar good boy;2025-09-22 19:21:57
black_list_check_full RES: similar good boy;2025-09-22 19:21:57
black_list_check_full RES: yes good boy;2025-09-22 19:21:57
black_list_check_full RES: similar good boy;2025-09-22 19:21:58
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: yes good boy;2025-09-22 19:22:49
black_list_check_full RES: yes good boy;2025-09-22 19:22:49
black_list_check_full RES: no, bad boy;2025-09-22 19:22:49
black_list_check_full ERROR: Ошибка: Дата рождения '22.03.2026' не может быть позже текущей даты;2025-09-22 19:22:49
black_list_check_full ERROR: Ошибка: Неверный формат даты '22-03-1989'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:22:49
black_list_check_full ERROR: Ошибка: Неверный формат даты '1989.03.22'. Ожидается DD.MM.YYYY (например, 22.03.1989);2025-09-22 19:22:49
black_list_check_full RES: no, bad boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: yes good boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:22:49
black_list_check_full RES: similar good boy;2025-09-22 19:23:47
black_list_check_full RES: yes good boy;2025-09-22 19:23:47
black_list_check_full RES: yes good boy;2025-09-22 19:23:47
black_list_check_full RES: no, bad boy;2025-09-22 19:23:47
black_list_check_full ERROR: Ошибка: Дата рождения '22.03.2026' не может быть позже текущей даты;2025-09-22 19:23:47
